,MPI-ESM1-2-HR_hist_tasmin,MPI-ESM1-2-HR_hist_tas,MPI-ESM1-2-HR_hist_hurs,MPI-ESM1-2-HR_hist_sfcWind,MPI-ESM1-2-HR_hist_rlds,MPI-ESM1-2-HR_hist_rsds,MPI-ESM1-2-HR_hist_huss,MPI-ESM1-2-HR_hist_tasmax,FGOALS-g3_hist_sfcWind,FGOALS-g3_hist_tasmin,FGOALS-g3_hist_tasmax,FGOALS-g3_hist_huss,FGOALS-g3_hist_rlds,FGOALS-g3_hist_rsds,FGOALS-g3_hist_tas,BCC-CSM2-MR_hist_tasmin,BCC-CSM2-MR_hist_rsds,BCC-CSM2-MR_hist_rlds,BCC-CSM2-MR_hist_huss,BCC-CSM2-MR_hist_tas,BCC-CSM2-MR_hist_sfcWind,BCC-CSM2-MR_hist_tasmax,NorESM2-MM_hist_hurs,NorESM2-MM_hist_tasmax,NorESM2-MM_hist_rlds,NorESM2-MM_hist_huss,NorESM2-MM_hist_tas,NorESM2-MM_hist_sfcWind,NorESM2-MM_hist_tasmin,CMCC-ESM2_hist_tasmax,CMCC-ESM2_hist_sfcWind,CMCC-ESM2_hist_tas,CMCC-ESM2_hist_tasmin,CMCC-ESM2_hist_rlds,CMCC-ESM2_hist_rsds,CMCC-ESM2_hist_huss,EC-Earth3_hist_tas,EC-Earth3_hist_tasmax,EC-Earth3_hist_sfcWind,EC-Earth3_hist_huss,EC-Earth3_hist_rlds,EC-Earth3_hist_rsds,EC-Earth3_hist_tasmin,EC-Earth3_hist_hurs,CESM2_hist_rlds,CESM2_hist_rsds,CESM2_hist_huss,UKESM1-0-LL_hist_rsds,MRI-ESM2-0_hist_rsds,MRI-ESM2-0_hist_rlds,MRI-ESM2-0_hist_huss,MRI-ESM2-0_hist_tas,MRI-ESM2-0_hist_tasmin,MRI-ESM2-0_hist_tasmax,MRI-ESM2-0_hist_sfcWind,GFDL-CM4_hist_tasmax,GFDL-CM4_hist_huss,GFDL-CM4_hist_rlds,GFDL-CM4_hist_rsds,GFDL-CM4_hist_sfcWind,GFDL-CM4_hist_tasmin,GFDL-CM4_hist_tas,CNRM-ESM2-1_hist_hurs,CNRM-ESM2-1_hist_tasmax,CNRM-ESM2-1_hist_huss,CNRM-ESM2-1_hist_rsds,CNRM-ESM2-1_hist_rlds,CNRM-ESM2-1_hist_tas,CNRM-ESM2-1_hist_tasmin
1960-12-31,283.51978,292.0604,69.64364,3.2115452,345.55756,228.52306,0.010887659,298.18686,3.2008805,283.89682,298.97147,0.01070088,344.82523,230.05553,292.64966,283.75296,234.33755,344.12607,0.01123677,292.503,3.383755,298.88513,72.96824,298.41507,347.37155,0.011194552,292.5258,3.2915506,285.83133,296.5424,3.4654284,291.37756,285.36856,340.55554,233.56912,0.010495422,292.241,296.95728,3.1710596,0.011964355,351.07062,217.91907,285.90295,74.75781,354.36026,226.89035,0.011572926,226.9741,234.46053,353.04593,0.011489999,293.24808,285.26025,299.6619,3.5294473,297.78265,0.011779039,350.7582,227.99547,3.1783354,285.67987,292.9361,79.65768,297.69446,0.012163901,226.34631,349.66492,291.1674,286.2688
1961-12-31,286.30997,293.13556,70.67983,3.2284052,351.3902,227.30762,0.011517322,299.162,3.3751345,282.95718,297.22455,0.01074736,345.4981,233.25046,290.10355,285.6305,228.23538,344.52747,0.010684396,290.82794,3.1816897,295.97037,73.66066,298.84268,351.1521,0.011500754,293.17407,3.2306745,287.5053,297.23096,3.3299005,290.00842,286.0791,348.0578,221.52759,0.011266199,292.31696,298.4661,3.2432988,0.010941483,349.0361,233.50049,285.34705,66.759224,351.19803,221.96635,0.011553051,235.7127,224.28433,347.99915,0.011205621,289.91373,284.69974,297.5767,3.235458,297.9902,0.010538018,346.31192,232.73172,3.4177768,283.9219,291.76483,70.28413,299.13138,0.011166366,231.5809,349.14438,292.8118,286.50082
1962-12-31,283.97128,291.47012,70.679276,3.232922,350.4336,223.7191,0.011100775,295.72296,3.3074343,284.96478,298.9177,0.011074801,346.73596,230.87051,291.12677,283.6643,221.38408,352.75336,0.011645499,292.52103,3.1902182,294.8164,72.91085,298.12247,345.8526,0.011043115,292.12854,3.2848098,286.11295,296.5134,3.0573857,291.7516,285.34814,348.24213,222.43788,0.011459838,292.7697,299.62756,3.4584687,0.01156756,353.1935,230.2177,286.75598,68.54057,350.76514,225.3784,0.011424065,223.92653,229.89558,346.36304,0.010797309,292.2971,280.35684,298.67172,3.3008454,298.84485,0.011191047,349.21454,232.18356,3.4951327,286.79535,291.9808,74.05792,298.36057,0.01145887,230.43384,346.80127,292.20343,286.1749
1963-12-31,283.9985,291.51224,69.02549,3.2606573,342.80142,225.98305,0.0103018135,296.70343,3.3119817,280.50037,298.13373,0.010864197,345.09195,231.37569,291.7206,286.63364,234.89992,352.78857,0.011402096,293.67984,3.2261307,299.89874,72.794014,297.70938,346.3346,0.011052654,291.0163,3.292164,284.3167,295.95474,3.0711281,291.57007,285.5204,344.1679,226.58545,0.011274659,292.1753,298.42313,3.3148425,0.011071154,345.55853,230.72147,285.95575,70.53983,347.04742,231.1421,0.011152115,229.28539,231.13591,347.36484,0.010317593,292.71155,284.47647,299.40033,3.4307323,297.74536,0.01071017,342.9524,227.13834,3.2777812,284.7021,291.5606,76.47569,297.05038,0.011515533,225.93297,346.86053,290.38248,286.1333
1964-12-31,284.76904,292.52762,67.82824,3.1949842,352.675,226.37541,0.011308566,297.82724,3.2383933,284.96533,294.37457,0.01077129,341.0267,227.31233,291.72617,284.96442,226.06897,345.0585,0.0111515075,291.6337,3.2867193,297.4808,70.267136,297.19998,344.57825,0.010458757,291.03143,3.412234,285.72363,298.0814,3.2975583,291.94473,285.808,343.21768,230.34811,0.010882208,291.6908,296.92102,3.3423986,0.010897041,344.77148,225.14496,284.01077,70.5728,344.27625,229.98965,0.011483063,236.6022,219.52205,350.11295,0.011847292,291.96542,285.9958,294.7056,3.0523863,298.00394,0.011129301,347.83148,228.55876,3.196088,285.35934,291.13666,72.924934,297.57925,0.010696813,230.76361,341.5207,291.37445,284.38803
1965-12-31,285.98676,291.4114,75.46136,3.135987,348.2712,221.3038,0.011453151,296.83347,3.235367,284.15576,296.21655,0.010882971,345.32715,225.84012,290.19138,285.2347,233.03323,344.4096,0.010550975,292.64847,3.316298,299.25607,77.40912,297.56204,355.84763,0.012093344,293.10056,3.196196,287.79495,298.59442,3.3482392,293.08698,285.18646,345.333,235.79002,0.010552989,290.98447,294.3685,3.4448225,0.010197642,340.49002,234.4593,283.4223,65.75074,345.6166,231.11246,0.011007872,222.6396,224.35936,346.03537,0.011274309,292.07425,285.4748,295.41534,3.2348707,297.85208,0.010841892,342.2107,228.9172,3.1428664,281.786,291.38287,68.98976,297.39474,0.010744599,232.29155,345.825,292.68417,286.44177
1966-12-31,285.2373,291.81866,73.00725,3.1389856,344.12418,228.65894,0.011329491,297.588,3.2305782,282.4507,297.43732,0.011079481,345.75812,225.01588,289.85767,287.31412,218.35345,355.1303,0.01201089,293.01804,3.0848074,297.8595,72.025696,298.86432,347.7826,0.011133356,291.78717,3.2882116,286.31412,298.69397,3.5548894,293.00684,287.31296,349.86896,230.64377,0.010869059,290.87024,297.75684,3.292302,0.010956108,343.50244,226.41609,284.85016,69.129196,346.19095,232.6563,0.011272703,227.70253,223.44579,349.5247,0.011503808,291.7702,285.8911,297.67395,3.2308824,299.07172,0.010849204,346.61032,230.10658,3.295959,283.7959,291.80344,70.35871,299.22812,0.0108559225,230.48589,349.12598,293.04553,286.96478
1967-12-31,285.0473,293.13123,66.0413,3.4007733,347.96298,232.9308,0.010933136,298.76172,3.2431245,285.9868,295.25583,0.01126118,350.85126,227.96027,290.23053,285.39294,230.86746,346.56168,0.01108155,292.3129,3.1915634,298.42444,70.360596,299.00784,349.143,0.010896787,292.84668,3.385087,286.69598,295.5107,3.1587877,291.46857,285.7689,345.60272,226.5864,0.010847032,291.4703,299.4976,3.2945251,0.011365697,349.14456,229.64,285.18988,69.023415,344.82373,233.74171,0.01077861,229.00443,229.00821,348.5761,0.011624525,292.2132,284.662,297.34366,3.2900913,299.32468,0.011664336,350.57794,229.09889,3.2127206,286.93347,293.22833,72.41678,298.05698,0.010992218,231.20052,343.25003,291.76712,285.4842
1968-12-31,287.62668,294.0241,67.706276,3.4624217,353.04892,234.76535,0.011683418,300.3834,3.2614083,286.02063,296.9851,0.011197621,349.567,228.71725,292.71997,285.39496,222.49185,346.92233,0.011075481,291.81918,3.2931666,297.47116,71.21606,298.24866,342.5572,0.010692941,291.9125,3.3277428,284.75256,295.75168,3.1360893,291.36026,285.2419,344.5426,226.46884,0.010793724,292.37994,296.16797,3.4882033,0.010946232,348.05862,223.90245,286.122,68.85019,342.82492,233.1946,0.010511728,228.29214,230.3674,350.5967,0.011158412,291.78876,282.80145,298.3709,3.2752645,299.3761,0.010812623,344.9845,235.84846,3.444453,286.1457,292.78717,75.83202,297.42465,0.011397483,222.87209,349.33887,291.5593,285.7126
1969-12-31,284.48718,292.10092,71.93256,3.1139078,349.13757,226.03197,0.011108052,298.09537,3.3385253,284.3687,297.44507,0.010921696,344.4854,229.68495,290.47043,284.70938,229.73892,346.66672,0.010971684,292.42615,3.2780294,297.671,71.65144,299.51172,352.78897,0.0114930095,293.6789,3.316177,287.86203,298.68024,3.4292812,293.49268,286.66495,350.6062,229.49913,0.011644217,292.0408,298.68423,3.504336,0.010642838,342.97128,233.64755,285.35477,66.80668,347.33548,229.90091,0.010950869,233.23688,231.87642,345.98703,0.010316478,291.28122,281.13058,299.1103,3.5353475,294.35425,0.01132172,348.25745,224.2805,3.06105,286.00638,291.02747,68.58618,299.42737,0.010416041,235.65546,346.68732,292.84494,286.36978
